company_id,sector,e_score,s_score,g_score,esg_score
C014,Manufacturing,74.55929653455215,70.16602660308135,74.67154156715085,73.05532556831699
C017,Technology,67.46574912393456,71.4813776956931,80.62168815828285,72.81800083435454
C005,Manufacturing,72.29403918657657,73.06037053380126,72.5186759437204,72.62964618524836
C027,Technology,75.72680523541732,73.80276587533294,66.9440260802532,72.41855771283855
C046,Manufacturing,69.85793183582344,68.78804400661002,77.96782903225062,71.91644025452689
C042,Energy,63.154554070403115,75.70609782908117,75.08907318704883,71.12795012093414
C020,Technology,74.59085073266017,68.97435163662978,69.13391349816334,70.98799487870048
C033,Healthcare,75.3124202807522,68.248230779006,68.09862276932364,70.67581470171245
C038,Finance,68.0406899216189,72.60575511921779,70.45062481166482,70.36144320779229
C032,Energy,65.3446668204542,71.27793375904317,74.77443564607213,70.25024089664572
