company_id,sector,e_score,s_score,g_score,esg_score
C000,Manufacturing,61.82836771933084,49.320470288241154,75.77162128540384,61.633579688271354
C001,Healthcare,51.295326425187014,55.871020225859745,61.45891510932711,55.94589586066449
C002,Finance,69.95468716789217,57.29525628699733,62.16253447401525,63.1862405514159
C003,Technology,69.70396364036604,43.00596684046498,57.87400690011661,56.810677738325836
C004,Manufacturing,64.66984334534997,53.875898730437264,63.967955866884466,60.68139648659087
C005,Manufacturing,72.29403918657657,73.06037053380126,72.5186759437204,72.62964618524836
C006,Energy,49.57666100897159,67.43326702744213,64.10317565607207,60.18442750956642
C007,Healthcare,75.7702671290695,57.37452733981593,66.20725158268117,66.46285353891425
C008,Technology,61.622624526708925,63.103518446943966,67.95906419175024,64.04186929830358
C009,Finance,51.65848931897995,58.41720308281664,73.57278222330747,60.59832700762105
C010,Energy,48.82282756530677,63.41360477871037,63.41815289956618,58.30819719027585
C011,Healthcare,55.74417260776106,64.71754945635189,58.28634945399006,59.64750755863655
C012,Finance,69.65993551744502,72.01717113145367,65.9259591366817,69.36477506811904
C013,Manufacturing,73.44118195531149,64.6782274856248,69.23792952500474,69.11317216182913
C014,Manufacturing,74.55929653455215,70.16602660308135,74.67154156715085,73.05532556831699
C015,Manufacturing,63.22043890556299,59.81179655164466,69.65694049878414,63.95836455965792
C016,Manufacturing,64.44401664664117,56.36446991802784,63.505485747635085,61.334616021924674
C017,Technology,67.46574912393456,71.4813776956931,80.62168815828285,72.81800083435454
C018,Technology,55.84739315053715,50.25548056311799,60.23753482056511,55.20726624594883
C019,Manufacturing,69.75687295409105,61.91743118003037,57.816496009228445,63.43095524971102
C020,Technology,74.59085073266017,68.97435163662978,69.13391349816334,70.98799487870048
C021,Energy,39.97778745727481,57.294606848794736,70.27921072066816,55.12910122332478
C022,Manufacturing,70.46998982482093,55.203019654255826,73.03760094315193,65.89683360062244
C023,Manufacturing,70.14863227320187,52.62348201420923,54.10599651838608,59.2020389561097
C024,Technology,75.09196133675668,54.55340432485831,82.76095457450266,70.20416435391604
C025,Finance,59.5529783678855,67.5292917624583,69.04251654611528,65.19154950945492
C026,Manufacturing,78.29577309764264,67.14715686771709,62.35217247226469,69.61067722955531
C027,Technology,75.72680523541732,73.80276587533294,66.9440260802532,72.41855771283855
C028,Technology,65.21561752521484,55.09671686391475,74.79520684869979,64.54787909080528
C029,Energy,51.012745774890874,64.39857337350455,56.23785927272602,57.2653194837562
C030,Technology,68.61096712858095,61.56982869260632,56.299410173581855,62.453101589490096
C031,Manufacturing,65.2754410149125,62.394027716090065,68.76140600409308,65.31273585707882
C032,Energy,65.3446668204542,71.27793375904317,74.77443564607213,70.25024089664572
C033,Healthcare,75.3124202807522,68.248230779006,68.09862276932364,70.67581470171245
C034,Healthcare,60.853424358688734,64.51572345056114,67.67117577465737,64.18055446563466
C035,Finance,58.974903074018734,59.72705346180539,73.7979362823496,63.68506567224332
C036,Manufacturing,65.64799559479428,61.78225784015014,71.84989636006236,66.15555761024925
C037,Energy,55.4055751970822,48.9873101610292,70.04010339277076,57.54954089317021
C038,Finance,68.0406899216189,72.60575511921779,70.45062481166482,70.36144320779229
C039,Technology,65.96383074582145,48.004467928376855,67.58429933696533,60.164194337059
C040,Energy,51.319534237059436,49.297878090002946,54.138419744437826,51.457620237803184
C041,Technology,67.25986020532572,51.73257528223536,68.8916119786825,62.31483601425112
C042,Energy,63.154554070403115,75.70609782908117,75.08907318704883,71.12795012093414
C043,Healthcare,58.5370037575074,57.259146240538975,71.35034866558046,61.93375709899037
C044,Manufacturing,76.24550220286235,59.52470118654318,63.695630618464996,66.62826037183143
C045,Finance,44.77655719566781,49.4354743866493,71.11988156470876,54.310175523223606
C046,Manufacturing,69.85793183582344,68.78804400661002,77.96782903225062,71.91644025452689
C047,Technology,66.53194208599625,74.65685667395967,67.02132089409425,69.52247583421284
C048,Technology,68.31768894886947,32.59611414389709,82.48826530051554,60.06631067262296
C049,Manufacturing,72.0093696087469,62.490600980888786,58.98111686916603,64.7693247671223
